Timestamp|PerformedBy|Code|ItemName|Size|StockChange|Action|Details
2025-11-23 20:34:51|Admin|0||||STAFF_ADDED|Staff: staff - staff, staff (Staff)
2025-11-23 20:36:09|Admin|0||||STAFF_ADDED|Staff: admin - admin, admin (Cashier)
2025-11-23 20:36:47|Admin|0||||STAFF_ADDED|Staff: cashier - man, cash (Cashier)
2025-11-23 21:15:43|raslu, hashim|1035|SHS White Polo (Male)|XL|-3/297|USER_PICKUP|Student raslu, hashim (02000288888) picked up item
2025-11-23 21:15:43|raslu, hashim|1034|SHS Checkered Skirt|XL|-3/267|USER_PICKUP|Student raslu, hashim (02000288888) picked up item
2025-11-23 21:54:18|raslu, hashim|1034|SHS Checkered Skirt|S|-1/299|USER_PICKUP|Student raslu, hashim (02000288888) picked up item
2025-11-23 21:54:40|raslu, hashim|1033|SHS Vest (Female)|S|-1/299|USER_PICKUP|Student raslu, hashim (02000288888) picked up item
2025-11-23 22:33:46|raslu, hashim|1034|SHS Checkered Skirt|S|-1/298|USER_PICKUP|Student raslu, hashim (02000288888) picked up item
2025-11-23 22:33:46|raslu, hashim|1033|SHS Vest (Female)|S|-1/298|USER_PICKUP|Student raslu, hashim (02000288888) picked up item

2025-11-24 08:55:12|staff|2002|STI Jacket|L|+10/20|ITEM_ADDED|Restocked jacket sizes L (receive batch #RK-20251124)
2025-11-24 09:05:50|staff|2001|STI Polo|M|-1/24|USER_PICKUP|Student Juan Dela Cruz (2023001) picked up item
2025-11-24 10:00:00|staff|2003|STI Cap|OneSize|+5/25|ITEM_UPDATED|Adjusted stock after QC - added 5 units
2025-11-24 11:00:00|staff|2004|STI Hoodie|XL|-3/47|STAFF_RETURN|Processed returned hoodies (inspected)
